,names,DominantPollutant,aqi,PM10,dew,humidity,NO2,PM2,SO2,CO,O3,URL,Latitude,Longitude,datetime,ptu_id_1,ptu_id_2,ptu_id_3,ptu_id_4,ptu_id_5,ptu_id_6,label_1,label_2,label_3,label_4,label_5,label_6,ptu_ids,sample_values,ptu_labels
0,Abidjan,pm25,61,0,27.0,88.0,0.0,61,0.0,0.0,0.0,https://api.waqi.info/feed/Abidjan/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,5.36,-4.0083,2020-04-15 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,61,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
1,ACCRA,pm25,68,0,25.0,74.0,0.0,68,0.0,0.0,0.0,https://api.waqi.info/feed/ACCRA/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,5.580642,-0.170724,2020-04-15 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,68,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
2,Adana,pm10,20,20,13.0,53.0,16.0,0,6.5,1.2,16.1,https://api.waqi.info/feed/Adana/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,37.0040545100691,35.3440100793125,2020-04-15 10:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.2,16.0,16.1,20,0,6.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
3,ADDIS ABABA,pm25,61,0,10.0,43.0,0.0,61,0.0,0.0,0.0,https://api.waqi.info/feed/ADDIS%20ABABA/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,9.058498,38.761642,2020-04-16 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,61,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
4,Adelaide,pm25,30,17,0.0,63.5,6.0,30,0.0,2.3,0.0,https://api.waqi.info/feed/Adelaide/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,-34.929051,138.601092,2020-04-16 08:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.3,6.0,0.0,17,30,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
5,Agra,so2,11,0,24.8,43.0,23.0,144,10.8,0.0,3.2,https://api.waqi.info/feed/Agra/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,27.19865833,78.00598056,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,23.0,3.2,0,144,10.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
6,Ahmadabad,pm25,130,63,14.0,34.429,9.8,130,14.0,2.0,7.2,https://api.waqi.info/feed/Ahmadabad/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,22.9987886,72.6029661,2020-04-16 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.0,9.8,7.2,63,130,14.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
7,Alexandria,pm25,24,0,-6.0,29.0,1.1,24,0.1,0.1,19.1,https://api.waqi.info/feed/Alexandria/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,38.8577,-77.05922,2020-04-15 18:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.1,19.1,0,24,0.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
8,ALGIERS,pm25,63,0,14.0,87.0,0.0,63,0.0,0.0,0.0,https://api.waqi.info/feed/ALGIERS/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,36.7558,3.039114,2020-04-16 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,63,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
9,ALMATY,pm25,99,0,5.0,100.0,0.0,99,0.0,0.0,0.0,https://api.waqi.info/feed/ALMATY/?token=330b2f010aadba2c5d5e19fce8cbb8872682fa6c,43.222,76.851,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,99,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
